row_id,jaccard_0,bert_score_0,rouge_1s_0,rouge_2s_0,rouge_ls_0,num_token_0,num_mask_0,num_med_ents_0,jaccard_1,bert_score_1,rouge_1s_1,rouge_2s_1,rouge_ls_1,num_token_1,num_mask_1,num_med_ents_1,jaccard_2,bert_score_2,rouge_1s_2,rouge_2s_2,rouge_ls_2,num_token_2,num_mask_2,num_med_ents_2,jaccard_3,bert_score_3,rouge_1s_3,rouge_2s_3,rouge_ls_3,num_token_3,num_mask_3,num_med_ents_3,jaccard_4,bert_score_4,rouge_1s_4,rouge_2s_4,rouge_ls_4,num_token_4,num_mask_4,num_med_ents_4
11381,0.08823529411764706,0.8493558764457703,0.43478260869565216,0.1206896551724138,0.34782608695652173,93,0,11,0.08823529411764706,0.8493558764457703,0.43478260869565216,0.1206896551724138,0.34782608695652173,93,0,11,0.08823529411764706,0.8493558764457703,0.43478260869565216,0.1206896551724138,0.34782608695652173,93,0,11,0.08823529411764706,0.8493558764457703,0.43478260869565216,0.1206896551724138,0.34782608695652173,93,0,11,0.19444444444444445,0.854110062122345,0.36231884057971014,0.11578947368421053,0.30434782608695654,164,0,20
75202,0.17647058823529413,0.8449572920799255,0.38,0.1232876712328767,0.32,172,0,28,0.21212121212121213,0.8411223888397217,0.37777777777777777,0.12698412698412698,0.3333333333333333,237,0,45,0.14285714285714285,0.8440233469009399,0.375,0.11764705882352941,0.3333333333333333,173,0,29,0.16129032258064516,0.8539947867393494,0.45901639344262296,0.22093023255813954,0.45901639344262296,140,4,14,0.17142857142857143,0.8504366278648376,0.3888888888888889,0.1619047619047619,0.3611111111111111,257,3,29
110646,0.2727272727272727,0.8339462280273438,0.5423728813559322,0.3037974683544304,0.4745762711864407,119,0,15,0.275,0.8582491874694824,0.4482758620689655,0.23622047244094488,0.39080459770114945,232,0,32,0.17142857142857143,0.8305025696754456,0.352112676056338,0.1346153846153846,0.29577464788732394,168,7,19,0.15789473684210525,0.8451893329620361,0.543859649122807,0.2875,0.38596491228070173,128,0,20,0.034482758620689655,0.8213901519775391,0.41333333333333333,0.14049586776859505,0.38666666666666666,233,25,26
69124,0.2647058823529412,0.8711961507797241,0.625,0.3333333333333333,0.5892857142857143,116,0,15,0.09375,0.8287577629089355,0.3283582089552239,0.06666666666666667,0.29850746268656714,134,0,8,0.22580645161290322,0.8608658313751221,0.5238095238095238,0.21782178217821782,0.5238095238095238,159,6,15,0.125,0.852471113204956,0.40789473684210525,0.18699186991869918,0.3815789473684211,188,10,18,0.03333333333333333,0.8417453169822693,0.4153846153846154,0.11504424778761062,0.4,198,13,15
53624,0.25,0.8712857961654663,0.4246575342465753,0.20388349514563106,0.3972602739726027,148,0,15,0.25,0.8743293285369873,0.45714285714285713,0.22857142857142856,0.44285714285714284,155,1,17,0.16666666666666666,0.8696714639663696,0.425,0.18803418803418803,0.4,211,3,25,0.15151515151515152,0.8522701263427734,0.32786885245901637,0.13157894736842105,0.26229508196721313,130,0,18,0.12,0.842831015586853,0.34782608695652173,0.08823529411764706,0.3188405797101449,156,8,14
124418,0.1724137931034483,0.8848661780357361,0.5573770491803278,0.25842696629213485,0.45901639344262296,147,0,17,0.1724137931034483,0.8591983914375305,0.45161290322580644,0.1956521739130435,0.43548387096774194,257,0,26,0.16129032258064516,0.8445104360580444,0.3625,0.1487603305785124,0.35,180,7,20,0.11538461538461539,0.8263577818870544,0.3541666666666667,0.12307692307692308,0.2916666666666667,257,59,67,0.03125,0.8314549922943115,0.23529411764705882,0.018518518518518517,0.22058823529411764,163,8,19
105285,0.2972972972972973,0.8802777528762817,0.6477272727272727,0.3458646616541353,0.6136363636363636,224,0,23,0.16666666666666666,0.8690881729125977,0.4864864864864865,0.2894736842105263,0.4864864864864865,217,8,27,0.18181818181818182,0.8554950952529907,0.6710526315789473,0.3130434782608696,0.6447368421052632,195,15,27,0.08823529411764706,0.8514241576194763,0.6388888888888888,0.24770642201834864,0.6111111111111112,195,13,22,0.06451612903225806,0.8444249629974365,0.4852941176470588,0.19230769230769232,0.4852941176470588,166,13,17
107204,0.21428571428571427,0.875863790512085,0.4025974025974026,0.24778761061946902,0.37662337662337664,257,0,34,0.14814814814814814,0.8455745577812195,0.2692307692307692,0.12345679012345678,0.2692307692307692,257,0,32,0.1111111111111111,0.8695379495620728,0.30392156862745096,0.15894039735099338,0.28431372549019607,257,10,37,0.17647058823529413,0.8443846702575684,0.23255813953488372,0.06451612903225806,0.23255813953488372,237,4,33,0.18181818181818182,0.862942099571228,0.40625,0.23333333333333334,0.390625,257,15,27
14391,0.05405405405405406,0.8353978395462036,0.3,0.09259259259259259,0.25,102,0,16,0.05405405405405406,0.8353978395462036,0.3,0.09259259259259259,0.25,102,0,16,0.14285714285714285,0.8399404287338257,0.37735849056603776,0.15714285714285714,0.3584905660377358,93,1,9,0.14285714285714285,0.8399404287338257,0.37735849056603776,0.15714285714285714,0.3584905660377358,93,1,9,0.18181818181818182,0.8432921171188354,0.2972972972972973,0.08247422680412371,0.25675675675675674,136,3,17
130178,0.2,0.8863144516944885,0.4266666666666667,0.2,0.41333333333333333,146,0,17,0.19047619047619047,0.879051923751831,0.49019607843137253,0.23529411764705882,0.49019607843137253,103,1,11,0.21428571428571427,0.8694430589675903,0.38028169014084506,0.1650485436893204,0.38028169014084506,253,0,34,0.12121212121212122,0.8384747505187988,0.2191780821917808,0.06315789473684211,0.2054794520547945,198,0,26,0.09523809523809523,0.8525664210319519,0.3181818181818182,0.08823529411764706,0.3181818181818182,192,13,20
17923,0.48148148148148145,0.8987242579460144,0.5595238095238095,0.2826086956521739,0.5476190476190477,229,0,27,0.48148148148148145,0.8987242579460144,0.5595238095238095,0.2826086956521739,0.5476190476190477,229,0,27,0.48148148148148145,0.8987242579460144,0.5595238095238095,0.2826086956521739,0.5476190476190477,229,0,27,0.48148148148148145,0.8987242579460144,0.5595238095238095,0.2826086956521739,0.5476190476190477,229,0,27,0.32,0.8808678984642029,0.5,0.23076923076923078,0.47560975609756095,190,0,16
74357,0.08823529411764706,0.8412028551101685,0.27906976744186046,0.10204081632653061,0.23255813953488372,93,0,12,0.08823529411764706,0.8412028551101685,0.27906976744186046,0.10204081632653061,0.23255813953488372,93,0,12,0.08823529411764706,0.8412028551101685,0.27906976744186046,0.10204081632653061,0.23255813953488372,93,0,12,0.37142857142857144,0.8581262826919556,0.3764705882352941,0.1864406779661017,0.3764705882352941,190,0,24,0.22857142857142856,0.8539413809776306,0.27710843373493976,0.08547008547008547,0.27710843373493976,249,8,31
93257,0.34782608695652173,0.893454909324646,0.4032258064516129,0.21176470588235294,0.3870967741935484,155,0,17,0.25,0.8733690977096558,0.5306122448979592,0.23529411764705882,0.4489795918367347,257,0,22,0.21739130434782608,0.8786281943321228,0.34328358208955223,0.18867924528301888,0.34328358208955223,191,5,21,0.21052631578947367,0.87012779712677,0.3898305084745763,0.21978021978021978,0.3898305084745763,156,9,16,0.05263157894736842,0.8574016690254211,0.39215686274509803,0.23076923076923078,0.39215686274509803,148,13,14
